Time &Domain0 &Domain1 &Domain2 &Domain3
324.0798658145 0.2990115158 0.2794282659 0.2232579156 0.1983023027
325.1048766738 0.2990115158 0.2794282659 0.2232579156 0.1983023027
326.0633067793 0.305053707 0.2770197256 0.2213335373 0.1965930301
327.0600135116 0.305053707 0.2770197256 0.2213335373 0.1965930301
328.035603575 0.305053707 0.2770197256 0.2213335373 0.1965930301
329.042767731 0.305053707 0.2770197256 0.2213335373 0.1965930301
330.100817167 0.305053707 0.2770197256 0.2213335373 0.1965930301
331.1100365069 0.305053707 0.2770197256 0.2213335373 0.1965930301
332.1177406889 0.305053707 0.2770197256 0.2213335373 0.1965930301
333.074045611 0.305053707 0.2770197256 0.2213335373 0.1965930301
334.229904615 0.305053707 0.2770197256 0.2213335373 0.1965930301
335.1608872987 0.305053707 0.2770197256 0.2213335373 0.1965930301
336.086104385 0.305053707 0.2770197256 0.2213335373 0.1965930301
337.0311066106 0.305053707 0.2770197256 0.2213335373 0.1965930301
338.0773776378 0.305053707 0.2770197256 0.2213335373 0.1965930301
339.0884700326 0.2935121585 0.2665388282 0.212959498 0.2269895153
340.0165203482 0.2935121585 0.2665388282 0.212959498 0.2269895153
341.1654454349 0.2935121585 0.2665388282 0.212959498 0.2269895153
342.0747196857 0.2935121585 0.2665388282 0.212959498 0.2269895153
343.1903050567 0.2935121585 0.2665388282 0.212959498 0.2269895153
344.0554089241 0.2935121585 0.2665388282 0.212959498 0.2269895153
345.0601676252 0.2935121585 0.2665388282 0.212959498 0.2269895153
346.0403405095 0.2935121585 0.2665388282 0.212959498 0.2269895153
347.255631663 0.2935121585 0.2665388282 0.212959498 0.2269895153
348.0948752678 0.2935121585 0.2665388282 0.212959498 0.2269895153
349.4576462837 0.2935121585 0.2665388282 0.212959498 0.2269895153
350.0518447846 0.2837187237 0.2576453955 0.2058538129 0.2527820678
351.273866536 0.2830326601 0.2594404921 0.2053560354 0.2521708125
352.1191859363 0.2830326601 0.2594404921 0.2053560354 0.2521708125
353.1228319443 0.2818793367 0.2583833039 0.2084049215 0.251332438
354.2130614531 0.2818793367 0.2583833039 0.2084049215 0.251332438
355.1765126164 0.2818793367 0.2583833039 0.2084049215 0.251332438
356.16853269 0.2818793367 0.2583833039 0.2084049215 0.251332438
357.050492705 0.2818793367 0.2583833039 0.2084049215 0.251332438
358.0719908773 0.2776940113 0.254546846 0.2201584718 0.2476006709
359.018664581 0.2776940113 0.254546846 0.2201584718 0.2476006709
360.1190024739 0.2776940113 0.254546846 0.2201584718 0.2476006709
361.2159526901 0.2776940113 0.254546846 0.2201584718 0.2476006709
362.0022614089 0.2776940113 0.254546846 0.2201584718 0.2476006709
363.0035930264 0.2776940113 0.254546846 0.2201584718 0.2476006709
364.3175120394 0.2776940113 0.254546846 0.2201584718 0.2476006709
365.0255113124 0.2776940113 0.254546846 0.2201584718 0.2476006709
366.1100600575 0.2715500824 0.2489150439 0.2374123221 0.2421225516
367.2788671275 0.2715500824 0.2489150439 0.2374123221 0.2421225516
368.1214826281 0.2715500824 0.2489150439 0.2374123221 0.2421225516
369.0201393861 0.2779000499 0.2467452276 0.2353427762 0.2400119462
